asof_date,captured_at,source,category,stock_code,stock_name,shares,yesterday_shares,current_value_twd,buy_value_today_twd,sell_value_today_twd,cost_basis_twd,avg_cost,last_price,price_change,price_change_pct,unrealized_pnl_twd,source_allocation_pct,unrealized_return_pct,currency,action
2026-09-11,,OFFICIAL_CLOSE_MARK_ON_MORNING_POSITION,現股,2397,友通,1045,1045,62215,0,0,68544,65.59,59.8,0,0.00,-6329,5.14,-9.23,TWD,
2026-09-11,,OFFICIAL_CLOSE_MARK_ON_MORNING_POSITION,現股,2103,台橡,2584,2584,66245,0,0,71719,27.76,25.75,-0.35,-1.35,-5474,5.47,-7.63,TWD,
2026-09-11,,OFFICIAL_CLOSE_MARK_ON_MORNING_POSITION,現股,6727,亞泰金屬,189,189,95400,0,0,99366,525.75,507,-12,-2.30,-3966,7.88,-3.99,TWD,
2026-09-11,,OFFICIAL_CLOSE_MARK_ON_MORNING_POSITION,現股,1590,亞德客-KY,63,63,80598,0,0,96842,1537.17,1285,-25,-1.92,-16244,6.65,-16.77,TWD,
2026-09-11,,OFFICIAL_CLOSE_MARK_ON_MORNING_POSITION,現股,1717,長興,1210,1210,85410,0,0,98997,81.82,70.9,-1.1,-1.53,-13587,7.05,-13.72,TWD,
2026-09-11,,OFFICIAL_CLOSE_MARK_ON_MORNING_POSITION,現股,2489,瑞軒,3000,3000,110211,0,0,118819,39.61,36.9,-1.35,-3.50,-8608,9.10,-7.24,TWD,
2026-09-11,,OFFICIAL_CLOSE_MARK_ON_MORNING_POSITION,現股,2637,慧洋-KY,1000,1000,100554,0,0,97939,97.94,101,1,1.00,2615,8.30,2.67,TWD,
2026-09-11,,OFFICIAL_CLOSE_MARK_ON_MORNING_POSITION,現股,3231,緯創,501,501,92526,0,0,92315,184.26,185.5,0,0.00,211,7.64,0.23,TWD,
2026-09-11,,USER_PASTED_EOD,融券,3055,蔚華科,1000,1000,133007,0,0,147000,146.23,160.0,0,0.00,-13993,10.98,-9.52,TWD,SHORT_SALE_MISTAKEN_ENTRY_PER_OWNER_2026-09-11;NOT_A_STRATEGY_POSITION
2026-09-11,,OFFICIAL_CLOSE_MARK_ON_MORNING_POSITION,現股,1712,興農,1066,1066,42718,0,0,43433,40.74,40.25,-0.4,-0.98,-715,3.53,-1.65,TWD,
2026-09-11,,OFFICIAL_CLOSE_MARK_ON_MORNING_POSITION,現股,2354,鴻準,788,788,51544,0,0,49556,62.89,65.7,-0.4,-0.62,1988,4.26,4.01,TWD,
2026-09-11,,OFFICIAL_CLOSE_MARK_ON_MORNING_POSITION,現股,6108,競國,2136,2136,47104,0,0,50072,23.44,22.15,-1.05,-4.51,-2968,3.89,-5.93,TWD,
2026-09-11,,USER_PASTED_POST_TRADE,現股,1303,南亞,211,0,49261,49866,0,49866,236.33,234.5,-9.5,-3.89,-605,4.07,-1.21,TWD,
2026-09-11,,USER_PASTED_POST_TRADE,現股,3006,晶豪科,348,0,100647,100366,0,100366,288.41,290.5,-21.5,-6.89,281,8.31,0.28,TWD,
2026-09-11,,USER_PASTED_POST_TRADE,現股,6179,亞通,1308,0,46556,48171,0,48171,36.83,35.75,-2.45,-6.41,-1615,3.84,-3.35,TWD,
2026-09-11,,USER_PASTED_POST_TRADE,現股,6426,統新,157,0,47205,49525,0,49525,315.45,302.0,-20,-6.21,-2320,3.90,-4.68,TWD,
