asof_date,captured_at,source,category,stock_code,stock_name,shares,yesterday_shares,current_value_twd,buy_value_today_twd,sell_value_today_twd,cost_basis_twd,avg_cost,last_price,price_change,price_change_pct,unrealized_pnl_twd,source_allocation_pct,unrealized_return_pct,currency,action
2026-09-15,,OFFICIAL_CLOSE_MARK_ON_MORNING_POSITION;OWNER_TRADES_ON_2026-09-15_UNKNOWN,現股,1590,亞德客-KY,63,63,80640,0,0,96842,1537.17,1280,10.00,0.79,-16202,6.78,-16.73,TWD,
2026-09-15,,OFFICIAL_CLOSE_MARK_ON_MORNING_POSITION;OWNER_TRADES_ON_2026-09-15_UNKNOWN,現股,1717,長興,1210,1210,82401,0,0,98997,81.82,68.1,-1.10,-1.59,-16596,6.93,-16.76,TWD,
2026-09-15,,OFFICIAL_CLOSE_MARK_ON_MORNING_POSITION;OWNER_TRADES_ON_2026-09-15_UNKNOWN,現股,6179,亞通,1308,1308,45584,0,0,48171,36.83,34.85,0.45,1.31,-2587,3.83,-5.37,TWD,
2026-09-15,,OFFICIAL_CLOSE_MARK_ON_MORNING_POSITION;OWNER_TRADES_ON_2026-09-15_UNKNOWN,現股,2397,友通,1045,1045,61655,0,0,68544,65.59,59,-0.70,-1.17,-6889,5.18,-10.05,TWD,
2026-09-15,,OFFICIAL_CLOSE_MARK_ON_MORNING_POSITION;OWNER_TRADES_ON_2026-09-15_UNKNOWN,現股,2103,台橡,2584,2584,66538,0,0,71719,27.76,25.75,0.30,1.18,-5181,5.59,-7.22,TWD,
2026-09-15,,CARRIED_FROM_2026-09-14_PASTE;SHORT_NOT_REMARKED;OWNER_TRADES_ON_2026-09-15_UNKNOWN,融券,3055,蔚華科,1000,1000,136014,0,0,147000,146.23,157.0,0,0,-10986,11.44,-7.47,TWD,SHORT_SALE_MISTAKEN_ENTRY_PER_OWNER_2026-09-11;NOT_A_STRATEGY_POSITION
2026-09-15,,OFFICIAL_CLOSE_MARK_ON_MORNING_POSITION;OWNER_TRADES_ON_2026-09-15_UNKNOWN,現股,6727,亞泰金屬,189,189,88736,0,0,99366,525.75,469.5,-19.00,-3.89,-10630,7.46,-10.70,TWD,
2026-09-15,,OFFICIAL_CLOSE_MARK_ON_MORNING_POSITION;OWNER_TRADES_ON_2026-09-15_UNKNOWN,現股,6108,競國,2136,2136,47846,0,0,50072,23.44,22.4,0.25,1.13,-2226,4.02,-4.45,TWD,
2026-09-15,,OFFICIAL_CLOSE_MARK_ON_MORNING_POSITION;OWNER_TRADES_ON_2026-09-15_UNKNOWN,現股,3006,晶豪科,348,348,91872,0,0,100366,288.41,264,-6.50,-2.40,-8494,7.72,-8.46,TWD,
2026-09-15,,OFFICIAL_CLOSE_MARK_ON_MORNING_POSITION;OWNER_TRADES_ON_2026-09-15_UNKNOWN,現股,1712,興農,1066,1066,42533,0,0,43433,40.74,39.9,0.00,0.00,-900,3.58,-2.07,TWD,
2026-09-15,,OFFICIAL_CLOSE_MARK_ON_MORNING_POSITION;OWNER_TRADES_ON_2026-09-15_UNKNOWN,現股,1303,南亞,211,211,46736,0,0,49866,236.33,221.5,-12.50,-5.34,-3130,3.93,-6.28,TWD,
2026-09-15,,OFFICIAL_CLOSE_MARK_ON_MORNING_POSITION;OWNER_TRADES_ON_2026-09-15_UNKNOWN,現股,3231,緯創,501,501,91432,0,0,92315,184.26,182.5,1.50,0.83,-883,7.69,-0.96,TWD,
2026-09-15,,OFFICIAL_CLOSE_MARK_ON_MORNING_POSITION;OWNER_TRADES_ON_2026-09-15_UNKNOWN,現股,2489,瑞軒,3000,3000,112500,0,0,118819,39.61,37.5,-1.80,-4.58,-6319,9.46,-5.32,TWD,
2026-09-15,,OFFICIAL_CLOSE_MARK_ON_MORNING_POSITION;OWNER_TRADES_ON_2026-09-15_UNKNOWN,現股,6426,統新,157,157,47100,0,0,49525,315.45,300,-12.00,-3.85,-2425,3.96,-4.90,TWD,
2026-09-15,,OFFICIAL_CLOSE_MARK_ON_MORNING_POSITION;OWNER_TRADES_ON_2026-09-15_UNKNOWN,現股,2354,鴻準,788,788,50905,0,0,49556,62.89,64.6,-0.10,-0.15,1349,4.28,2.72,TWD,
2026-09-15,,OFFICIAL_CLOSE_MARK_ON_MORNING_POSITION;OWNER_TRADES_ON_2026-09-15_UNKNOWN,現股,2637,慧洋-KY,1000,1000,96900,0,0,97939,97.94,96.9,-4.10,-4.06,-1039,8.15,-1.06,TWD,
