signal_date,effective_date,strategy_id,stock_code,stock_name,action,signal_ref_price,signal_basis,fill_date,fill_time,fill_price,shares,source
2026-08-24,2026-08-25,MARGIN,2637,慧洋-KY,BUY,97.1,NEXT_OPEN,2026-08-25,10:14:13,97.80,1000,owner_pasted_fill_2026-08-25
2026-08-26,2026-08-27,TRUST,2606,裕民,SELL,72,CARD_CLOSE,2026-08-27,12:24:20,73.8,1000,owner_pasted_fill_2026-08-27
2026-08-27,2026-08-28,TRUST,6727,亞泰金屬,BUY,529,NEXT_OPEN,2026-08-28,,525,189,derived_2026-08-28
2026-09-04,2026-09-07,TRUST,3231,緯創,BUY,199.5,CARD_ENTRY_NEXT_OPEN,2026-09-08,,184,501,owner_broker_confirmation_2026-09-08
2026-09-10,2026-09-11,BREAKOUT,3006,晶豪科,BUY,304.0000,NEXT_OPEN,2026-09-11,,288,348,owner_broker_confirmation_2026-09-11
2026-09-10,2026-09-11,YOY,6179,亞通,BUY,38.2000,NEXT_OPEN,2026-09-11,,36.8,1000,owner_broker_confirmation_2026-09-11
2026-09-10,2026-09-11,YOY,6179,亞通,BUY,38.2000,NEXT_OPEN,2026-09-11,,36.7,308,owner_broker_confirmation_2026-09-11
2026-09-10,2026-09-11,YOY,6426,統新,BUY,317.5000,NEXT_OPEN,2026-09-11,,315,157,owner_broker_confirmation_2026-09-11
2026-09-10,2026-09-11,YOY,1303,南亞,BUY,237.5000,NEXT_OPEN,2026-09-11,,236,211,owner_broker_confirmation_2026-09-11
