asof_date,captured_at,source,category,stock_code,stock_name,shares,yesterday_shares,current_value_twd,buy_value_today_twd,sell_value_today_twd,cost_basis_twd,avg_cost,last_price,price_change,price_change_pct,unrealized_pnl_twd,source_allocation_pct,unrealized_return_pct,currency,action
2026-09-16,,OFFICIAL_CLOSE_MARK_ON_2026-09-14_POSITION;OWNER_TRADES_SINCE_2026-09-15_UNKNOWN,現股,1590,亞德客-KY,63,63,78120,0,0,96842,1537.17,1240,-40.00,-3.12,-18722,6.36,-19.33,TWD,
2026-09-16,,OFFICIAL_CLOSE_MARK_ON_2026-09-14_POSITION;OWNER_TRADES_SINCE_2026-09-15_UNKNOWN,現股,1717,長興,1210,1210,85547,0,0,98997,81.82,70.7,2.60,3.82,-13450,6.97,-13.59,TWD,
2026-09-16,,OFFICIAL_CLOSE_MARK_ON_2026-09-14_POSITION;OWNER_TRADES_SINCE_2026-09-15_UNKNOWN,現股,6179,亞通,1308,1308,49312,0,0,48171,36.83,37.7,2.85,8.18,1141,4.02,2.37,TWD,
2026-09-16,,OFFICIAL_CLOSE_MARK_ON_2026-09-14_POSITION;OWNER_TRADES_SINCE_2026-09-15_UNKNOWN,現股,2397,友通,1045,1045,61655,0,0,68544,65.59,59,0.00,0.00,-6889,5.02,-10.05,TWD,
2026-09-16,,OFFICIAL_CLOSE_MARK_ON_2026-09-14_POSITION;OWNER_TRADES_SINCE_2026-09-15_UNKNOWN,現股,2103,台橡,2584,2584,69380,0,0,71719,27.76,26.85,1.10,4.27,-2339,5.65,-3.26,TWD,
2026-09-16,,CARRIED_FROM_2026-09-14_PASTE;SHORT_NOT_REMARKED;OWNER_TRADES_SINCE_2026-09-15_UNKNOWN,融券,3055,蔚華科,1000,1000,136014,0,0,147000,146.23,157.0,0,0,-10986,11.08,-7.47,TWD,SHORT_SALE_MISTAKEN_ENTRY_PER_OWNER_2026-09-11;NOT_A_STRATEGY_POSITION
2026-09-16,,OFFICIAL_CLOSE_MARK_ON_2026-09-14_POSITION;OWNER_TRADES_SINCE_2026-09-15_UNKNOWN,現股,6727,亞泰金屬,189,189,90153,0,0,99366,525.75,477,7.50,1.60,-9213,7.34,-9.27,TWD,
2026-09-16,,OFFICIAL_CLOSE_MARK_ON_2026-09-14_POSITION;OWNER_TRADES_SINCE_2026-09-15_UNKNOWN,現股,6108,競國,2136,2136,49128,0,0,50072,23.44,23,0.60,2.68,-944,4.00,-1.89,TWD,
2026-09-16,,OFFICIAL_CLOSE_MARK_ON_2026-09-14_POSITION;OWNER_TRADES_SINCE_2026-09-15_UNKNOWN,現股,3006,晶豪科,348,348,97788,0,0,100366,288.41,281,17.00,6.44,-2578,7.97,-2.57,TWD,
2026-09-16,,OFFICIAL_CLOSE_MARK_ON_2026-09-14_POSITION;OWNER_TRADES_SINCE_2026-09-15_UNKNOWN,現股,1712,興農,1066,1066,42214,0,0,43433,40.74,39.6,-0.30,-0.75,-1219,3.44,-2.81,TWD,
2026-09-16,,OFFICIAL_CLOSE_MARK_ON_2026-09-14_POSITION;OWNER_TRADES_SINCE_2026-09-15_UNKNOWN,現股,1303,南亞,211,211,47264,0,0,49866,236.33,224,2.50,1.13,-2602,3.85,-5.22,TWD,
2026-09-16,,OFFICIAL_CLOSE_MARK_ON_2026-09-14_POSITION;OWNER_TRADES_SINCE_2026-09-15_UNKNOWN,現股,3231,緯創,501,501,91683,0,0,92315,184.26,183,0.50,0.27,-632,7.47,-0.68,TWD,
2026-09-16,,OFFICIAL_CLOSE_MARK_ON_2026-09-14_POSITION;OWNER_TRADES_SINCE_2026-09-15_UNKNOWN,現股,2489,瑞軒,3000,3000,123750,0,0,118819,39.61,41.25,3.75,10.00,4931,10.08,4.15,TWD,
2026-09-16,,OFFICIAL_CLOSE_MARK_ON_2026-09-14_POSITION;OWNER_TRADES_SINCE_2026-09-15_UNKNOWN,現股,6426,統新,157,157,51810,0,0,49525,315.45,330,30.00,10.00,2285,4.22,4.61,TWD,
2026-09-16,,OFFICIAL_CLOSE_MARK_ON_2026-09-14_POSITION;OWNER_TRADES_SINCE_2026-09-15_UNKNOWN,現股,2354,鴻準,788,788,51378,0,0,49556,62.89,65.2,0.60,0.93,1822,4.18,3.68,TWD,
2026-09-16,,OFFICIAL_CLOSE_MARK_ON_2026-09-14_POSITION;OWNER_TRADES_SINCE_2026-09-15_UNKNOWN,現股,2637,慧洋-KY,1000,1000,102500,0,0,97939,97.94,102.5,5.60,5.78,4561,8.35,4.66,TWD,
