asof_date,captured_at,source,category,stock_code,stock_name,shares,yesterday_shares,current_value_twd,buy_value_today_twd,sell_value_today_twd,cost_basis_twd,avg_cost,last_price,price_change,price_change_pct,unrealized_pnl_twd,source_allocation_pct,unrealized_return_pct,currency,action
2026-09-07,,USER_PASTED_EOD,現股,1590,亞德客-KY,63,63,85930,0,0,96842,1537.17,1370.0,-25,-1.79,-10912,10.32,-11.27,TWD,
2026-09-07,,USER_PASTED_EOD,現股,1712,興農,1066,1066,42772,0,0,43433,40.74,40.3,-0.35,-0.86,-661,5.14,-1.52,TWD,
2026-09-07,,USER_PASTED_EOD,現股,1717,長興,1210,1210,88544,0,0,98997,81.82,73.5,-2.6,-3.42,-10453,10.64,-10.56,TWD,
2026-09-07,,USER_PASTED_EOD,現股,2103,台橡,2584,2584,70489,0,0,71719,27.76,27.4,-0.85,-3.01,-1230,8.47,-1.72,TWD,
2026-09-07,,USER_PASTED_EOD,現股,2354,鴻準,788,788,51543,0,0,49556,62.89,65.7,0.1,0.15,1987,6.19,4.01,TWD,
2026-09-07,,USER_PASTED_EOD,現股,2397,友通,1045,1045,64401,0,0,68544,65.59,61.9,-0.3,-0.48,-4143,7.74,-6.04,TWD,
2026-09-07,,USER_PASTED_EOD,現股,2489,瑞軒,3000,3000,122158,0,0,118819,39.61,40.9,-0.1,-0.24,3339,14.68,2.81,TWD,
2026-09-07,,USER_PASTED_EOD,現股,2609,陽明,1000,1000,57844,0,0,54777,54.78,58.1,-0.1,-0.17,3067,6.95,5.6,TWD,
2026-09-07,,USER_PASTED_EOD,現股,2637,慧洋-KY,1000,1000,98762,0,0,97939,97.94,99.2,-0.6,-0.60,823,11.87,0.84,TWD,
2026-09-07,,USER_PASTED_EOD,現股,2886,兆豐金,1,1,49,0,0,40,40.0,50.2,0.65,1.31,9,0.01,22.5,TWD,
2026-09-07,,USER_PASTED_EOD,現股,6108,競國,2136,2136,48806,0,0,50072,23.44,22.95,0,0.00,-1266,5.86,-2.52,TWD,
2026-09-07,,USER_PASTED_EOD,現股,6727,亞泰金屬,189,189,101045,0,0,99366,525.75,537.0,-4,-0.74,1679,12.14,1.69,TWD,
