asof_date,captured_at,source,category,stock_code,stock_name,shares,yesterday_shares,current_value_twd,buy_value_today_twd,sell_value_today_twd,cost_basis_twd,avg_cost,last_price,price_change,price_change_pct,unrealized_pnl_twd,source_allocation_pct,unrealized_return_pct,currency,action
2026-09-08,,USER_PASTED_EOD,現股,1590,亞德客-KY,63,63,83734,0,0,96842,1537.17,1335.0,-35.0,-2.55,-13108,9.26,-13.54,TWD,
2026-09-08,,USER_PASTED_EOD,現股,1712,興農,1066,1066,43355,0,0,43433,40.74,40.85,0.55,1.36,-78,4.79,-0.18,TWD,
2026-09-08,,USER_PASTED_EOD,現股,1717,長興,1210,1210,87098,0,0,98997,81.82,72.3,-1.2,-1.63,-11899,9.63,-12.02,TWD,
2026-09-08,,USER_PASTED_EOD,現股,2103,台橡,2584,2584,66245,0,0,71719,27.76,25.75,-1.65,-6.02,-5474,7.33,-7.63,TWD,
2026-09-08,,USER_PASTED_EOD,現股,2354,鴻準,788,788,50602,0,0,49556,62.89,64.5,-1.2,-1.83,1046,5.6,2.11,TWD,
2026-09-08,,USER_PASTED_EOD,現股,2397,友通,1045,1045,62216,0,0,68544,65.59,59.8,-2.1,-3.39,-6328,6.88,-9.23,TWD,
2026-09-08,,USER_PASTED_EOD,現股,2489,瑞軒,3000,3000,116931,0,0,118819,39.61,39.15,-1.75,-4.28,-1888,12.93,-1.59,TWD,
2026-09-08,,USER_PASTED_EOD,現股,2609,陽明,1000,1000,57048,0,0,54777,54.78,57.3,-0.8,-1.38,2271,6.31,4.15,TWD,
2026-09-08,,USER_PASTED_EOD,現股,2637,慧洋-KY,1000,1000,97667,0,0,97939,97.94,98.1,-1.1,-1.11,-272,10.8,-0.28,TWD,
2026-09-08,,USER_PASTED_EOD,現股,3231,緯創,501,0,93023,92184,0,92315,184.26,186.5,-10.5,-5.33,708,10.29,0.77,TWD,
2026-09-08,,USER_PASTED_EOD,現股,6108,競國,2136,2136,47317,0,0,50072,23.44,22.25,-0.7,-3.05,-2755,5.23,-5.5,TWD,
2026-09-08,,USER_PASTED_EOD,現股,6727,亞泰金屬,189,189,98975,0,0,99366,525.75,526.0,-11.0,-2.05,-391,10.95,-0.39,TWD,
