asof_date,captured_at,source,category,stock_code,stock_name,shares,yesterday_shares,current_value_twd,buy_value_today_twd,sell_value_today_twd,cost_basis_twd,avg_cost,last_price,price_change,price_change_pct,unrealized_pnl_twd,source_allocation_pct,unrealized_return_pct,currency,action
2026-09-17,,USER_PASTED_POST_CLOSE_1357_TPE,現股,1717,長興,1210,1210,85894,0,0,98997,81.82,71.3,0.6,0.85,-13103,8.98,-13.24,TWD,
2026-09-17,,USER_PASTED_POST_CLOSE_1357_TPE,融券,3055,蔚華科,1000,1000,132016,0,0,147000,146.23,161.0,-3.0,-1.83,-14984,13.8,-10.19,TWD,SHORT_SALE_MISTAKEN_ENTRY_PER_OWNER_2026-09-11;NOT_A_STRATEGY_POSITION
2026-09-17,,USER_PASTED_POST_CLOSE_1357_TPE,現股,2397,友通,1045,1045,62320,0,0,68544,65.59,59.9,0.9,1.53,-6224,6.51,-9.08,TWD,
2026-09-17,,USER_PASTED_POST_CLOSE_1357_TPE,現股,3006,晶豪科,348,348,96490,0,0,100366,288.41,278.5,-2.5,-0.89,-3876,10.08,-3.86,TWD,
2026-09-17,,USER_PASTED_POST_CLOSE_1357_TPE,現股,1712,興農,1066,1066,42188,0,0,43433,40.74,39.75,0.15,0.38,-1245,4.41,-2.87,TWD,
2026-09-17,,USER_PASTED_POST_CLOSE_1357_TPE,現股,3231,緯創,501,501,93023,0,0,92315,184.26,186.5,3.5,1.91,708,9.72,0.77,TWD,
2026-09-17,,USER_PASTED_POST_CLOSE_1357_TPE,現股,6108,競國,2136,2136,51677,0,0,50072,23.44,24.3,1.3,5.65,1605,5.4,3.21,TWD,
2026-09-17,,USER_PASTED_POST_CLOSE_1357_TPE,現股,2637,慧洋-KY,1000,1000,101549,0,0,97939,97.94,102.0,-0.5,-0.49,3610,10.61,3.69,TWD,
2026-09-17,,USER_PASTED_POST_CLOSE_1357_TPE,現股,2354,鴻準,788,788,52014,0,0,49556,62.89,66.3,1.1,1.69,2458,5.44,4.96,TWD,
2026-09-17,,USER_PASTED_POST_CLOSE_1357_TPE,現股,2489,瑞軒,3000,3000,129028,0,0,118819,39.61,43.2,1.95,4.73,10209,13.48,8.59,TWD,
2026-09-17,,USER_PASTED_POST_CLOSE_1357_TPE,現股,6179,亞通,1308,1308,53977,0,0,48171,36.83,41.45,3.75,9.95,5806,5.64,12.05,TWD,
2026-09-17,,USER_PASTED_POST_CLOSE_1357_TPE,現股,6426,統新,157,157,56740,0,0,49525,315.45,363.0,33.0,10.0,7215,5.93,14.57,TWD,
