asof_date,captured_at,source,category,stock_code,stock_name,shares,yesterday_shares,current_value_twd,buy_value_today_twd,sell_value_today_twd,cost_basis_twd,avg_cost,last_price,price_change,price_change_pct,unrealized_pnl_twd,source_allocation_pct,unrealized_return_pct,currency,action
2026-08-24,,USER_PASTED_INTRADAY,現股,1590,亞德客-KY,63,63,90006,0,0,96842,1537.17,1435.00,0,0.00,-6836,7.39,-7.06,TWD,出借
2026-08-24,,USER_PASTED_INTRADAY,現股,1709,和益,3949,3949,136230,0,0,107707,27.27,34.65,1.35,4.05,28523,11.18,26.48,TWD,出借
2026-08-24,,USER_PASTED_INTRADAY,現股,2059,川湖,5,5,71732,0,0,59985,11997.00,14410.00,1025,7.66,11747,5.89,19.57,TWD,出借
2026-08-24,,USER_PASTED_INTRADAY,現股,2103,台橡,2584,2584,72806,0,0,71719,27.76,28.30,-0.10,-0.35,1087,5.98,1.52,TWD,出借
2026-08-24,,USER_PASTED_INTRADAY,現股,2301,光寶科,626,626,178869,0,0,168449,269.09,287.00,26,9.96,10420,14.69,6.19,TWD,出借
2026-08-24,,USER_PASTED_INTRADAY,現股,2354,鴻準,788,788,47464,0,0,49556,62.89,60.50,0.30,0.50,-2092,3.90,-4.22,TWD,出借
2026-08-24,,USER_PASTED_INTRADAY,現股,2395,研華,106,106,69440,0,0,70802,667.94,658.00,9,1.39,-1362,5.70,-1.92,TWD,出借
2026-08-24,,USER_PASTED_INTRADAY,現股,2397,友通,1045,1045,65232,0,0,68544,65.59,62.70,-0.10,-0.16,-3312,5.36,-4.83,TWD,出借
2026-08-24,,USER_PASTED_INTRADAY,現股,2408,南亞科,198,198,98760,0,0,94580,477.68,501.00,-27,-5.11,4180,8.11,4.42,TWD,出借
2026-08-24,,USER_PASTED_INTRADAY,現股,2606,裕民,1000,1000,71981,0,0,68797,68.80,72.30,-0.30,-0.41,3184,5.91,4.63,TWD,出借
2026-08-24,,USER_PASTED_INTRADAY,現股,2609,陽明,1000,1000,64216,0,0,54777,54.78,64.50,0.50,0.78,9439,5.27,17.23,TWD,出借
2026-08-24,,USER_PASTED_INTRADAY,現股,2886,兆豐金,1,1,45,0,0,40,40.00,46.85,-0.10,-0.21,5,,12.50,TWD,出借
2026-08-24,,USER_PASTED_INTRADAY,現股,3006,晶豪科,257,257,72154,0,0,68974,268.38,282.00,25.50,9.94,3180,5.92,4.61,TWD,出借
2026-08-24,,USER_PASTED_INTRADAY,現股,3044,健鼎,200,200,89602,0,0,99141,495.71,450.00,-9,-1.96,-9539,7.36,-9.61,TWD,出借
2026-08-24,,USER_PASTED_INTRADAY,現股,6672,騰輝電子-KY,347,347,89476,0,0,97993,282.40,259.00,-8.50,-3.18,-8517,7.35,-8.69,TWD,出借
