asof_date,captured_at,source,category,stock_code,stock_name,shares,yesterday_shares,current_value_twd,buy_value_today_twd,sell_value_today_twd,cost_basis_twd,avg_cost,last_price,price_change,price_change_pct,unrealized_pnl_twd,source_allocation_pct,unrealized_return_pct,currency,action
2026-09-04,,USER_PASTED_EOD,現股,1590,亞德客-KY,63,63,87497,0,0,96842,1537.17,1395.0,20,1.45,-9345,8.39,-9.65,TWD,
2026-09-04,,USER_PASTED_EOD,現股,1709,和益,949,949,32127,0,0,26094,27.5,34.0,0.55,1.64,6033,3.08,23.12,TWD,
2026-09-04,,USER_PASTED_EOD,現股,1712,興農,1066,1066,43143,0,0,43433,40.74,40.65,0.05,0.12,-290,4.14,-0.67,TWD,
2026-09-04,,USER_PASTED_EOD,現股,1717,長興,1210,1210,91676,0,0,98997,81.82,76.1,-0.7,-0.91,-7321,8.79,-7.4,TWD,
2026-09-04,,USER_PASTED_EOD,現股,2103,台橡,2584,2584,72677,0,0,71719,27.76,28.25,0.3,1.07,958,6.97,1.34,TWD,
2026-09-04,,USER_PASTED_EOD,現股,2354,鴻準,788,788,51464,0,0,49556,62.89,65.6,1.9,2.98,1908,4.94,3.85,TWD,
2026-09-04,,USER_PASTED_EOD,現股,2397,友通,1045,1045,64714,0,0,68544,65.59,62.2,0.8,1.30,-3830,6.21,-5.59,TWD,
2026-09-04,,USER_PASTED_EOD,現股,2408,南亞科,198,198,97775,0,0,94580,477.68,496.0,18.5,3.87,3195,9.38,3.38,TWD,
2026-09-04,,USER_PASTED_EOD,現股,2489,瑞軒,3000,3000,122456,0,0,118819,39.61,41.0,0.1,0.24,3637,11.74,3.06,TWD,
2026-09-04,,USER_PASTED_EOD,現股,2609,陽明,1000,1000,57944,0,0,54777,54.78,58.2,0.4,0.69,3167,5.56,5.78,TWD,
2026-09-04,,USER_PASTED_EOD,現股,2637,慧洋-KY,1000,1000,99359,0,0,97939,97.94,99.8,0,0.00,1420,9.53,1.45,TWD,
2026-09-04,,USER_PASTED_EOD,現股,2886,兆豐金,1,1,48,0,0,40,40.0,49.55,-0.85,-1.69,8,0.00,20.0,TWD,
2026-09-04,,USER_PASTED_EOD,現股,3006,晶豪科,257,257,71259,0,0,68974,268.38,278.5,1.5,0.54,2285,6.83,3.31,TWD,
2026-09-04,,USER_PASTED_EOD,現股,6108,競國,2136,2136,48806,0,0,50072,23.44,22.95,-0.1,-0.43,-1266,4.68,-2.52,TWD,
2026-09-04,,USER_PASTED_EOD,現股,6727,亞泰金屬,189,189,101798,0,0,99366,525.75,541.0,-9,-1.64,2432,9.76,2.45,TWD,
