asof_date,captured_at,source,category,stock_code,stock_name,shares,yesterday_shares,current_value_twd,buy_value_today_twd,sell_value_today_twd,cost_basis_twd,avg_cost,last_price,price_change,price_change_pct,unrealized_pnl_twd,source_allocation_pct,unrealized_return_pct,currency,action
2026-08-26,,USER_PASTED_EOD,現股,1590,亞德客-KY,63,63,92202,0,0,96842,1537.17,1470.0,10,0.68,-4640,6.86,-4.79,TWD,
2026-08-26,,USER_PASTED_EOD,現股,1709,和益,3949,3949,145863,0,0,107707,27.27,37.1,3.35,9.93,38156,10.86,35.43,TWD,
2026-08-26,,USER_PASTED_EOD,現股,2059,川湖,5,5,72230,0,0,59730,11946.0,14510.0,225,1.58,12500,5.38,20.93,TWD,
2026-08-26,,USER_PASTED_EOD,現股,2103,台橡,2584,2584,72547,0,0,71719,27.76,28.2,0.1,0.36,828,5.40,1.14,TWD,
2026-08-26,,USER_PASTED_EOD,現股,2301,光寶科,626,626,191333,0,0,168449,269.09,307.0,11,3.72,22884,14.24,13.59,TWD,
2026-08-26,,USER_PASTED_EOD,現股,2354,鴻準,788,788,48248,0,0,49556,62.89,61.5,1,1.65,-1308,3.59,-2.64,TWD,
2026-08-26,,USER_PASTED_EOD,現股,2395,研華,106,106,72607,0,0,70802,667.94,688.0,18,2.69,1805,5.40,2.54,TWD,
2026-08-26,,USER_PASTED_EOD,現股,2397,友通,1045,1045,65441,0,0,68544,65.59,62.9,0.4,0.64,-3103,4.87,-4.53,TWD,
2026-08-26,,USER_PASTED_EOD,現股,2408,南亞科,198,198,101914,0,0,94580,477.68,517.0,7,1.37,7334,7.59,7.75,TWD,
2026-08-26,,USER_PASTED_EOD,現股,2606,裕民,1000,1000,71682,0,0,68797,68.8,72.0,-6,-7.69,2885,5.34,4.19,TWD,
2026-08-26,,USER_PASTED_EOD,現股,2609,陽明,1000,1000,57346,0,0,54777,54.78,57.6,-6,-9.43,2569,4.27,4.69,TWD,
2026-08-26,,USER_PASTED_EOD,現股,2637,慧洋-KY,1000,1000,90798,0,0,97939,97.94,91.2,-4.3,-4.50,-7141,6.76,-7.29,TWD,
2026-08-26,,USER_PASTED_EOD,現股,2886,兆豐金,1,1,45,0,0,40,40.0,46.6,-0.4,-0.85,5,0.00,12.5,TWD,
2026-08-26,,USER_PASTED_EOD,現股,3006,晶豪科,257,257,69979,0,0,68974,268.38,273.5,3.5,1.30,1005,5.21,1.46,TWD,
2026-08-26,,USER_PASTED_EOD,現股,3044,健鼎,200,200,95775,0,0,99141,495.71,481.0,18,3.89,-3366,7.13,-3.4,TWD,
2026-08-26,,USER_PASTED_EOD,現股,6672,騰輝電子-KY,347,347,95522,0,0,97993,282.4,276.5,6,2.22,-2471,7.11,-2.52,TWD,
