asof_date,captured_at,source,category,stock_code,stock_name,shares,yesterday_shares,current_value_twd,buy_value_today_twd,sell_value_today_twd,cost_basis_twd,avg_cost,last_price,price_change,price_change_pct,unrealized_pnl_twd,source_allocation_pct,unrealized_return_pct,currency,action
2026-09-14,,USER_PASTED_INTRADAY_1150_TPE,現股,1590,亞德客-KY,63,63,79656,0,0,96842,1537.17,1270.0,-15.0,-1.17,-17186,6.61,-17.75,TWD,
2026-09-14,,USER_PASTED_INTRADAY_1150_TPE,現股,1717,長興,1210,1210,83485,0,0,98997,81.82,69.3,-1.6,-2.26,-15512,6.93,-15.67,TWD,
2026-09-14,,USER_PASTED_INTRADAY_1150_TPE,現股,6179,亞通,1308,1308,43366,0,0,48171,36.83,33.3,-2.45,-6.85,-4805,3.6,-9.97,TWD,
2026-09-14,,USER_PASTED_INTRADAY_1150_TPE,現股,2397,友通,1045,1045,62111,0,0,68544,65.59,59.7,-0.1,-0.17,-6433,5.15,-9.39,TWD,
2026-09-14,,USER_PASTED_INTRADAY_1150_TPE,現股,2103,台橡,2584,2584,65473,0,0,71719,27.76,25.45,-0.3,-1.17,-6246,5.43,-8.71,TWD,
2026-09-14,,USER_PASTED_INTRADAY_1150_TPE,融券,3055,蔚華科,1000,1000,136014,0,0,147000,146.23,157.0,2.5,1.62,-10986,11.28,-7.47,TWD,SHORT_SALE_MISTAKEN_ENTRY_PER_OWNER_2026-09-11;NOT_A_STRATEGY_POSITION
2026-09-14,,USER_PASTED_INTRADAY_1150_TPE,現股,6727,亞泰金屬,189,189,92671,0,0,99366,525.75,492.5,-14.5,-2.86,-6695,7.69,-6.74,TWD,
2026-09-14,,USER_PASTED_INTRADAY_1150_TPE,現股,6108,競國,2136,2136,46998,0,0,50072,23.44,22.1,-0.05,-0.23,-3074,3.9,-6.14,TWD,
2026-09-14,,USER_PASTED_INTRADAY_1150_TPE,現股,3006,晶豪科,348,348,95104,0,0,100366,288.41,274.5,-16.0,-5.51,-5262,7.89,-5.24,TWD,
2026-09-14,,USER_PASTED_INTRADAY_1150_TPE,現股,1712,興農,1066,1066,42348,0,0,43433,40.74,39.9,-0.35,-0.87,-1085,3.51,-2.5,TWD,
2026-09-14,,USER_PASTED_INTRADAY_1150_TPE,現股,1303,南亞,211,211,48737,0,0,49866,236.33,232.0,-2.5,-1.07,-1129,4.04,-2.25,TWD,
2026-09-14,,USER_PASTED_INTRADAY_1150_TPE,現股,3231,緯創,501,501,90780,0,0,92315,184.26,182.0,-3.5,-1.89,-1535,7.53,-1.66,TWD,
2026-09-14,,USER_PASTED_INTRADAY_1150_TPE,現股,2489,瑞軒,3000,3000,118126,0,0,118819,39.61,39.55,2.65,7.18,-693,9.8,-0.57,TWD,
2026-09-14,,USER_PASTED_INTRADAY_1150_TPE,現股,6426,統新,157,157,49315,0,0,49525,315.45,315.5,13.5,4.47,-210,4.09,-0.42,TWD,
2026-09-14,,USER_PASTED_INTRADAY_1150_TPE,現股,2354,鴻準,788,788,50759,0,0,49556,62.89,64.7,-1.0,-1.52,1203,4.21,2.43,TWD,
2026-09-14,,USER_PASTED_INTRADAY_1150_TPE,現股,2637,慧洋-KY,1000,1000,100554,0,0,97939,97.94,101.0,0.0,0.0,2615,8.34,2.67,TWD,
