asof_date,captured_at,source,category,stock_code,stock_name,shares,yesterday_shares,current_value_twd,buy_value_today_twd,sell_value_today_twd,cost_basis_twd,avg_cost,last_price,price_change,price_change_pct,unrealized_pnl_twd,source_allocation_pct,unrealized_return_pct,currency,action
2026-08-28,,USER_PASTED_EOD,現股,1590,亞德客-KY,63,63,88751,0,0,96842,1537.17,1415.0,-65,-4.39,-8091,6.92,-8.35,TWD,
2026-08-28,,USER_PASTED_EOD,現股,1709,和益,3949,3949,142127,0,0,103758,26.27,36.15,2,5.86,38369,11.08,36.97,TWD,
2026-08-28,,USER_PASTED_EOD,現股,2059,川湖,5,5,71185,0,0,59730,11946.0,14300.0,-40,-0.28,11455,5.55,19.18,TWD,
2026-08-28,,USER_PASTED_EOD,現股,2103,台橡,2584,2584,72547,0,0,71719,27.76,28.2,0.45,1.62,828,5.66,1.14,TWD,
2026-08-28,,USER_PASTED_EOD,現股,2301,光寶科,626,626,197876,0,0,168449,269.09,317.5,16.5,5.48,29427,15.43,17.47,TWD,
2026-08-28,,USER_PASTED_EOD,現股,2354,鴻準,788,788,50131,0,0,49556,62.89,63.9,-0.5,-0.78,575,3.91,1.15,TWD,
2026-08-28,,USER_PASTED_EOD,現股,2395,研華,106,106,70601,0,0,70802,667.94,669.0,-6,-0.89,-201,5.50,-0.28,TWD,
2026-08-28,,USER_PASTED_EOD,現股,2397,友通,1045,1045,65337,0,0,68544,65.59,62.8,-1,-1.57,-3207,5.09,-4.68,TWD,
2026-08-28,,USER_PASTED_EOD,現股,2408,南亞科,198,198,106448,0,0,94580,477.68,540.0,-1,-0.18,11868,8.30,12.55,TWD,
2026-08-28,,USER_PASTED_EOD,現股,2609,陽明,1000,1000,55952,0,0,54777,54.78,56.2,-1.7,-2.94,1175,4.36,2.15,TWD,
2026-08-28,,USER_PASTED_EOD,現股,2637,慧洋-KY,1000,1000,91693,0,0,97939,97.94,92.1,-2.5,-2.64,-6246,7.15,-6.38,TWD,
2026-08-28,,USER_PASTED_EOD,現股,2886,兆豐金,1,1,47,0,0,40,40.0,48.2,2.05,4.44,7,0.00,17.5,TWD,
2026-08-28,,USER_PASTED_EOD,現股,3006,晶豪科,257,257,68956,0,0,68974,268.38,269.5,-4.5,-1.64,-18,5.38,-0.03,TWD,
2026-08-28,,USER_PASTED_EOD,現股,6672,騰輝電子-KY,347,347,100012,0,0,97993,282.4,289.5,8,2.84,2019,7.80,2.06,TWD,
2026-08-28,,USER_PASTED_EOD,現股,6727,亞泰金屬,189,0,101045,99225,0,99366,525.75,537.0,17,3.27,1679,7.88,1.69,TWD,
